what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336757979193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336757990218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336757992997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336757994165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336758000776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758003107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758004278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758014592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758014710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758016251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758017997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758018150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758023097
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336758023175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758023785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758024881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758025472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758025975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758125073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758184743
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336758185018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758287953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758289729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758289873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758298178
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336758298272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758298631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758299199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758337176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758343487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336758352194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336758366093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758397862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758399150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758408977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758417215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758606642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758606728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758685206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758689345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758840950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758859163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336758868159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758876364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758880108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758920609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758922070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758942893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758945424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758952806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758955119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336758970356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758971936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336758977333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758983844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758984861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758985759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758988380
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336758988463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758992734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758993510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758993679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758994456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758997655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758997863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758998275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758998659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336758998991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759000099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759000806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759001343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759115922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759182166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759191442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759214559
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336759230359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759256147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759257264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759258175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759259934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759260068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759260703
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759260811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759263433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759275347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759278273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759279131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759279817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759284140
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336759284287
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759286776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759293383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759294709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759294883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759300707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759301039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759302053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759302488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759302998
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336759309060
closed,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759309063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759317413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759320148
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759320196
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759320238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759320239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759320239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759399402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759400908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759402307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759446097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336759448805
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336759672036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336759673505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336759680229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336759696088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336759698685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759702382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759703444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759704407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759707242
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759707346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759711484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759712870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759713036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759714207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759717125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759717399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759717773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759717990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759718464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759719262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759720011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759720488
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336759722669
closed,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759722674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759725593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759727852
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759727911
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759727943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759727944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759727944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336759728024
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759730083
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336759733994
closed,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759733999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759740632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759742089
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759742137
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336759742169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759742170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336759742170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759887205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759904006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336759917227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760186493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336760190915
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336760231851
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336760249958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336760299769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336760302317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336760329806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760391729
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1336760391799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760419629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760436826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760437807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760438637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760440465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760440635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760447414
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336760447516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760448464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760448991
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336760450804
closed,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.OldLogCatView",1336760450810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336760454037
